Unnamed: 0,datetime,source,url,title,content
207,2015-11-11,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=383,张威教授研究组预言新奇拓扑超辐射相,
17,2015-11-10,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=382,《美国化学会•纳米》发表胡智鑫博士多层转角石墨烯研究成果,
25,2015-11-09,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=381,张芃教授研究组在超冷碱土金属原子气体研究领域取得重要进展,
36,2015-11-06,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=379,用局域五次对称性描述非晶合金微观结构和动力学演化的新方法,
204,2015-11-06,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=380,液态金属合金中会发生“液-液相变”吗？从猜想走向实证,"许多有关液体的基本问题一直是悬而未解的重要科学难题。例如金属液体在冷却时通常会形成晶体，但是为什么某些合金液体冷却时容易形成玻璃？为什么非晶合金液体的粘度会随温度急剧地变化而相应的结构变化却难以被实验所察觉？与此密切相关的一个备受关注的问题是：非晶合金液体是否有特定的结构，是否可以发生液液相变？最近，中国人民大学物理系李茂枝研究组与华中科技大学材料成形与模具技术国家重点实验室柳林研究组、中国科学院物理研究所汪卫华研究组和美国北卡罗来纳大学（UNC-ChapelHill）吴跃研究组合作，利用华中科技大学国家脉冲强磁场科学中心的高温核磁共振平台,并结合分子动力学模拟方法证明了非晶合金液体确实可以发生液液相变。这一结果近期发表在《自然》杂志子刊《自然通讯》（NatureCommunications6,7696(2015)“Evidenceofliquid-liquidtransitioninglassformingLa50Al35Ni15meltaboveliquidustemperature”）。"
49,2015-10-20,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=378,物理学系俞榕副教授在重费米子金属领域取得突破性研究成果,
109,2013-09-26,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=348,物理学系季威副教授在《科学》杂志发表论文,物理学系季威副教授与国家纳米科学中心裘晓辉研究员和程志海副研究员等在《科学》杂志以科学快讯（Science5Ex-press）的形式在线发表论文《原子力显微镜实空间观测分子间相互作用》，该文将在几周后的正刊上正式发表。这是我校教师首次在《科学》杂志“原创研究成果”栏目发表论文，也是我校教师作为通讯作者首次在《科学》杂志上发文。  该研究采用非接触原子力显微镜技术和第一性原理密度泛函理论计算，在国际上首次实现了分子间局域相互作用的直接成像。研究成果为研究分子间相互作用开创了新思路，并为理解“氢键的本质”这一悬而未决的重大问题提供了重要证据。该成果的实验工作在国家纳米科学中心完成，理论计算工作在我校完成。季威副教授（理论）与裘晓辉研究员（实验）、程志海副研究员（实验）为该论文的共同通讯作者。  《科学》杂志与《自然》杂志被广泛认为是最权威的自然科学综合性期刊。《科学》杂志现有15%的内容通过Science5Express预出版，这些论文通常是编辑推荐的重要文章。
85,2013-06-17,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=377,中国人民大学物理系预测二维极化费米系统物性,"近日，《物理评论快报》（PhysicalReviewLetters）报道了中国人民大学物理系张威研究组和中国科学技术大学量子信息重点实验室易为研究组的合作研究成果。他们研究了具有Rashba自旋轨道耦合的二维费米系统在大极化极限下的配对稳定性，发现该体系中会出现分子态-极化子态转变（Molecule-Polarontransition），以及质心动量不同的分子态。这些发现不仅对研究超冷费米气体中的配对现象提供了理论依据，也有助于理解带自旋轨道耦合的一般费米系统的性质。部分研究成果发表在Phys.Rev.Lett.109,140402(2012)上."
10,2013-03-26,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=376,人民大学将FeSe基插层材料超导转变温度提升至44K,
110,2013-03-16,phi.ruc.edu.cn,http://www.phys.ruc.edu.cn/index.php?c=show&id=375,人民大学发展量子杂质系统精确求解的新方法,"近日，中国人民大学物理学系魏建华、同宁华两个计算物理研究组与中国科学技术大学严以京理论课物理研究组合作，发展了量子开放系统的线性响应理论，结合约化密度矩阵动力学理论提出了一套求解量子开放体系动力学量的新方法。该方法被国际同行评价为近十年来量子杂质计算方法的重要进展之一。相关结果发表于2012年12月出版的《物理评论快报》[Phys. Rev. Lett. 109, 266403 (2012)]上。"
