,datetime,source,url,title,content
121,2018/9/29,chem.ruc.edu.cn,http://chem.ruc.edu.cn/dtgz/dj/f4987db35c304bb5a05f3e7074cfb1f4.htm,化学系党支部学习2018最新修订版《中国共产党纪律处分条例》,
122,2018/9/28,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/34a603c083924fdbb3620416a71cabfb.htm,2018年中国人民大学化学系暑期学校优秀学员名单,
123,2018/9/27,chem.ruc.edu.cn,http://chem.ruc.edu.cn/tzgg/zsdt/a08485136d6240cfa463a8a97ec5d3cd.htm,2019年中国人民大学化学系接收推荐免试研究生工作办法,根据教育部有关推荐免试生招生文件规定和精神，结合“中国人民大学2019年接收推荐免试研究生工作办法”，为做好中国人民大学接收优秀应届本科毕业生免试攻读硕士、博士学位研究生（以下简称推免生）工作，特制定本办法。
124,2018/9/18,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/04aec0b607334f63ab4f5d7ac0c0c486.htm,驾驭光的力量： 用光来控制细胞活动,
125,2018/9/14,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsjl/xn/9c91a5a6bf6549e595d0626089ecde46.htm,金属酶反应机理的理论研究,
126,2018/9/7,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/xscg/cf022f5305a2472295bfbfd5cebfa5c5.htm,实时、无损、活体生物影像技术进展,化学系与北京大学化学与分子工程学院共同承担的国家重大仪器设备研制专项《时间分辨双光子激发活体荧光成像》于2018年1月通过自然科学基金委组织的专家验收。该装置在化学系功能分子与材料动态结构研究中心研制成功，具有无损、大视场、可视化分析活体生物内载药体的分布、滞留、清除等动力学过程的能力，而且消除了生物组织自发荧光的干扰以及激光辐照带来的热效应。该装置可以实时监测模型动、植物体内纳米载药体的药代过程，预期将有效促进用于纳米医学的载药体的研发。（详见ReviewofScientificInstruments2018，89，085105；doi:10.1063/1.5026852）。
127,2018/9/1,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsfz/gzzd/8596f14b99a645a5ab74edd6b2b5e011.htm,中国人民大学本科学生校级公派境外学习项目选拔办法,（转教务处网站，修订版，适用于2018年9月后的选拔项目）
128,2018/9/1,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsfz/gjjl/fa197461733a4e079bee37cb474ad2be.htm,中国人民大学本科学生校级公派境外学习项目选拔办法,（转教务处网站，修订版，适用于2018年9月后的选拔项目）
129,2018/8/3,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xsfz/gzzd/c5421a106df548cd848326cc2f630d84.htm,关于《中国人民大学优秀应届本科毕业生免试攻读研究生推荐工作实施办法》（修订）的补充规定,关于《中国人民大学优秀应届本科毕业生免试攻读研究生推荐工作实施办法》（修订）的补充规定
130,2018/7/31,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/txzx/1a858f9a6e78440ca34bc755b6e58c4a.htm,“双青优培”项目赴日交流学习活动（三）——神户大学与大阪市立大学访学,
131,2018/7/31,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/txzx/81b5fcbb43bd429e8162a4dd92a5ac3e.htm,“双青优培”项目赴日交流学习活动（二）——关西学院大学访学,
132,2018/7/31,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/txzx/ecd19fac80c9440ea7405b8b7719c716.htm,“双青优培”项目赴日交流学习活动（四）——大阪大学访学,2018年7月28日上午，中国人民大学理学院“双青优培”科技英才成长支持计划（以下简称“双青优培”项目）访问组前往本次访学活动的最后一站——大阪大学(OsakaUniversity)工学研究科，应用物理学系进行参观交流。大阪大学是一所本部位于日本大阪府吹田市的日本顶尖、世界一流的著名研究型国立综合大学，综合实力日本第三，在全球都享有很高声望。
133,2018/7/30,chem.ruc.edu.cn,http://chem.ruc.edu.cn/xwdt/txzx/a0022d39a850486eb3b52af0b96a66b9.htm,“双青优培”项目赴日交流学习活动（一）——行前筹备交流顺利完成,
134,2018/7/16,chem.ruc.edu.cn,http://chem.ruc.edu.cn/dtgz/dj/55aa6d686ee74929a1fb9866ddef9cfc.htm,化学系党支部参加理学院“不忘初心牢记使命”专题教育实践活动,为深入学习贯彻落实党的十九大精神，以改革创新精神和求真务实作风全面加强学院党组织建设，大力弘扬党的优良传统和作风，值中国共产党成立97周年生日来临之际，理学院党委于2018年6月30日至7月4日赴福建闽西原中央革命根据地，开展了以“不忘初心牢记使命”为主题的教育培训实践活动。活动由院党委书记杨燕萍、党委副书记臧虹带队化学系教工党支部副书记秦玉军、朱克然、耿硕、罗红霞、郁志勇、杜为红、高玉红共7人参与。
